tag-id,animal-id,animal-taxon,deploy-on-date,deploy-off-date,animal-life-stage,animal-sex,animal-taxon-detail,attachment-type,deployment-id,manipulation-type,study-site
YL174,YL174,Cervus elaphus,2017-03-02 00:00:00.000,,adult,f,ssp. canadensis,collar,YL174,none,"Banff National Park, Canada"
YL173,YL173,Cervus elaphus,2017-03-03 09:00:00.000,,adult,f,ssp. canadensis,collar,YL173,none,"Banff National Park, Canada"
YL179,YL179,Cervus elaphus,2017-03-03 09:00:00.000,,adult,f,ssp. canadensis,collar,YL179,none,"Banff National Park, Canada"
OR51_OR19,OR51_OR19,Cervus elaphus,2018-03-11 01:00:00.000,,adult,f,ssp. canadensis,collar,OR51_OR19,none,"Banff National Park, Canada"
YL181,YL181,Cervus elaphus,2018-03-14 09:00:00.000,,adult,f,ssp. canadensis,collar,YL181,none,"Banff National Park, Canada"
YL180,YL180,Cervus elaphus,2018-03-14 09:00:00.000,,adult,f,ssp. canadensis,collar,YL180,none,"Banff National Park, Canada"
YL185,YL185,Cervus elaphus,2018-03-15 11:00:00.000,,adult,f,ssp. canadensis,collar,YL185,none,"Banff National Park, Canada"
YL183,YL183,Cervus elaphus,2018-03-15 11:00:00.000,,adult,f,ssp. canadensis,collar,YL183,none,"Banff National Park, Canada"
YL184,YL184,Cervus elaphus,2018-03-15 11:00:00.000,,adult,f,ssp. canadensis,collar,YL184,none,"Banff National Park, Canada"
YL182,YL182,Cervus elaphus,2018-03-15 11:00:00.000,,adult,f,ssp. canadensis,collar,YL182,none,"Banff National Park, Canada"
YL186,YL186,Cervus elaphus,2018-03-18 04:00:00.000,,adult,f,ssp. canadensis,collar,YL186,none,"Banff National Park, Canada"
YL178,YL178,Cervus elaphus,2019-03-07 03:00:00.000,,adult,f,ssp. canadensis,collar,YL178,none,"Banff National Park, Canada"
YL177,YL177,Cervus elaphus,2019-03-07 03:00:00.000,,adult,f,ssp. canadensis,collar,YL177,none,"Banff National Park, Canada"
YL187,YL187,Cervus elaphus,2019-03-09 07:00:00.000,,adult,f,ssp. canadensis,collar,YL187,none,"Banff National Park, Canada"
YL190,YL190,Cervus elaphus,2019-03-09 07:00:00.000,,adult,f,ssp. canadensis,collar,YL190,none,"Banff National Park, Canada"
YL195,YL195,Cervus elaphus,2019-03-10 03:00:00.000,,adult,f,ssp. canadensis,collar,YL195,none,"Banff National Park, Canada"
OR24,OR24,Cervus elaphus,2019-03-10 03:00:00.000,,adult,f,ssp. canadensis,collar,OR24,none,"Banff National Park, Canada"
YL188,YL188,Cervus elaphus,2019-03-10 03:00:00.000,,adult,f,ssp. canadensis,collar,YL188,none,"Banff National Park, Canada"
YL191_YX14,YL191_YX14,Cervus elaphus,2019-03-10 03:00:00.000,,adult,f,ssp. canadensis,collar,YL191_YX14,none,"Banff National Park, Canada"
YL192,YL192,Cervus elaphus,2019-03-10 03:01:00.000,,adult,f,ssp. canadensis,collar,YL192,none,"Banff National Park, Canada"
YL196,YL196,Cervus elaphus,2019-03-10 12:00:00.000,,adult,f,ssp. canadensis,collar,YL196,none,"Banff National Park, Canada"
YL189,YL189,Cervus elaphus,2019-03-10 16:00:00.000,,adult,f,ssp. canadensis,collar,YL189,none,"Banff National Park, Canada"
YL197,YL197,Cervus elaphus,2019-03-10 16:01:00.000,,adult,f,ssp. canadensis,collar,YL197,none,"Banff National Park, Canada"
YL194,YL194,Cervus elaphus,2019-03-11 01:00:00.000,,adult,f,ssp. canadensis,collar,YL194,none,"Banff National Park, Canada"
YL193,YL193,Cervus elaphus,2019-03-11 18:00:00.000,,adult,f,ssp. canadensis,collar,YL193,none,"Banff National Park, Canada"
YL198,YL198,Cervus elaphus,2019-03-12 07:01:00.000,,adult,f,ssp. canadensis,collar,YL198,none,"Banff National Park, Canada"
YL199,YL199,Cervus elaphus,2020-02-26 10:00:00.000,,adult,f,ssp. canadensis,collar,YL199,none,"Banff National Park, Canada"
YL200,YL200,Cervus elaphus,2020-02-27 12:00:00.000,,adult,f,ssp. canadensis,collar,YL200,none,"Banff National Park, Canada"
YL201,YL201,Cervus elaphus,2020-02-27 12:00:00.000,,adult,f,ssp. canadensis,collar,YL201,none,"Banff National Park, Canada"
YL202,YL202,Cervus elaphus,2020-02-27 12:00:00.000,,adult,f,ssp. canadensis,collar,YL202,none,"Banff National Park, Canada"
YL204,YL204,Cervus elaphus,2020-02-28 01:00:00.000,,adult,f,ssp. canadensis,collar,YL204,none,"Banff National Park, Canada"
YL203,YL203,Cervus elaphus,2020-02-28 04:00:00.000,,adult,f,ssp. canadensis,collar,YL203,none,"Banff National Park, Canada"
YL207,YL207,Cervus elaphus,2020-02-29 03:00:00.000,,adult,f,ssp. canadensis,collar,YL207,none,"Banff National Park, Canada"
YL206,YL206,Cervus elaphus,2020-02-29 03:00:00.000,,adult,f,ssp. canadensis,collar,YL206,none,"Banff National Park, Canada"
YL208,YL208,Cervus elaphus,2020-02-29 03:00:00.000,,adult,f,ssp. canadensis,collar,YL208,none,"Banff National Park, Canada"
YL205,YL205,Cervus elaphus,2020-02-29 03:00:00.000,,adult,f,ssp. canadensis,collar,YL205,none,"Banff National Park, Canada"
YL210,YL210,Cervus elaphus,2020-03-01 01:00:00.000,,adult,f,ssp. canadensis,collar,YL210,none,"Banff National Park, Canada"
YL209,YL209,Cervus elaphus,2020-03-01 02:00:00.000,,adult,f,ssp. canadensis,collar,YL209,none,"Banff National Park, Canada"
YL211,YL211,Cervus elaphus,2021-03-02 09:00:00.000,,adult,f,ssp. canadensis,collar,YL211,none,"Banff National Park, Canada"
YL213/GI,YL213/GI,Cervus elaphus,2021-03-02 12:00:00.000,,adult,f,ssp. canadensis,collar,YL213/GI,none,"Banff National Park, Canada"
YL212,YL212,Cervus elaphus,2021-03-03 01:00:00.000,,adult,f,ssp. canadensis,collar,YL212,none,"Banff National Park, Canada"
YL214,YL214,Cervus elaphus,2021-03-03 11:00:00.000,,adult,f,ssp. canadensis,collar,YL214,none,"Banff National Park, Canada"
YL217,YL217,Cervus elaphus,2021-03-04 00:00:00.000,,adult,f,ssp. canadensis,collar,YL217,none,"Banff National Park, Canada"
YL215,YL215,Cervus elaphus,2021-03-04 00:00:00.000,,adult,f,ssp. canadensis,collar,YL215,none,"Banff National Park, Canada"
YL216,YL216,Cervus elaphus,2021-03-04 00:00:00.000,,adult,f,ssp. canadensis,collar,YL216,none,"Banff National Park, Canada"
YL218,YL218,Cervus elaphus,2021-03-05 02:00:00.000,,adult,f,ssp. canadensis,collar,YL218,none,"Banff National Park, Canada"
YL220,YL220,Cervus elaphus,2021-03-05 05:00:00.000,,adult,f,ssp. canadensis,collar,YL220,none,"Banff National Park, Canada"
YL219/CI,YL219/CI,Cervus elaphus,2021-03-05 05:00:00.000,,adult,f,ssp. canadensis,collar,YL219/CI,none,"Banff National Park, Canada"
YL223,YL223,Cervus elaphus,2022-03-02 01:00:00.000,,adult,f,ssp. canadensis,collar,YL223,none,"Banff National Park, Canada"
YL226,YL226,Cervus elaphus,2022-03-03 01:00:00.000,,adult,f,ssp. canadensis,collar,YL226,none,"Banff National Park, Canada"
YL222,YL222,Cervus elaphus,2022-03-03 01:00:00.000,,adult,f,ssp. canadensis,collar,YL222,none,"Banff National Park, Canada"
YL224,YL224,Cervus elaphus,2022-03-03 01:00:00.000,,adult,f,ssp. canadensis,collar,YL224,none,"Banff National Park, Canada"
